Team,onep,twop,threep,fourp,fivep,sixp,player,Position,Years,Draft Round,Orig Team,Age At Sign,contract_type,perc_GTD,Total,APY,Effective Length,second_last_PB,last_PB,7,8
TEN,99.9,62.96,0,0,0,0,Kenneth Murray,LB,2,1,0,25,UFA,0.483225806,15500000,7750000,0,2500000,2500000,0.05,0.04
IND,99.96,81.55,36.74,0,0,0,Kenny Moore,CB,3,8,1,28,UFA,0.533333333,3.00E+07,1.00E+07,0,2250000,2250000,0.02,0.02
CHI,99.86,38.69,0,0,0,0,Kevin Byard,S,2,3,0,30,SFA,0.492666667,1.50E+07,7500000,0,1500000,1500000,0.08,0.07
LA,99.99,66.95,20.46,0,0,0,Kevin Dotson,RG,3,4,1,27,UFA,0.5,4.80E+07,1.60E+07,0,1416666,1416668,0,0
ATL,99.99,99.49,76.37,26.52,0,0,Kirk Cousins,QB,4,4,0,35,UFA,0.5,1.80E+08,4.50E+07,0,12500000,12500000,0,0
PHI,99.99,92.32,73.65,36.5,0,0,Landon Dickerson,LG,4,2,1,25,Extension,0.352857143,8.40E+07,2.10E+07,0,4019000,4019000,0,0.01
SF,99.98,54.92,0,0,0,0,Leonard Floyd,EDGE,2,1,0,31,UFA,0.6,2.00E+07,1.00E+07,0,2158000,2158000,0.01,0.01
SEA,99.99,88.96,60.79,0,0,0,Leonard Williams,DT,3,1,1,29,UFA,0.405426357,64500000,21500000,0,8300000,8300000,0,0
TEN,99.94,86.88,71.68,19.67,0,0,Lloyd Cushenberry,C,4,3,0,26,UFA,0.52,5.00E+07,12500000,0,4525000,4525000,0.03,0.03
BUF,99.55,68.11,33.16,0,0,0,Mack Wilson,WR,3,5,0,26,UFA,0.505490196,12750000,4250000,0,1166666,1166668,0.22,0.24
DEN,99.36,68.81,0,0,0,0,Malcolm Roach,DT,2,8,0,25,UFA,0.428571429,7.00E+06,3500000,0,1250000,1250000,0.33,0.32
NE,99.99,90.95,70.61,0,0,0,Michael Onwenu,RT,3,6,1,26,UFA,0.640350877,5.70E+07,1.90E+07,0,7500000,7500000,0,0
IND,99.99,81.8,34.52,0,0,0,Michael Pittman Jr.,WR,3,2,1,26,UFA,0.585714286,7.00E+07,23333333,0,5.00E+06,5.00E+06,0,0
TB,99.99,57.93,0,0,0,0,Mike Evans,WR,2,1,1,30,UFA,0.707317073,4.10E+07,20500000,0,4358000,4358000,0,0
HOU,99,73.27,0,0,0,0,Mike Ford,CB,2,8,0,28,UFA,0.333333333,4500000,2250000,0,5.00E+05,5.00E+05,0.51,0.51
PIT,98.93,67.44,0,0,0,0,Miles Killebrew,S,2,4,1,30,UFA,0.321538462,6500000,3250000,0,1045000,1045000,0.54,0.53
JAX,99.58,48.71,0,0,0,0,Mitch Morse,C,2,2,0,31,SFA,0.666666667,10500000,5250000,0,8.00E+05,8.00E+05,0.22,0.21
BUF,98.15,50.31,0,0,0,0,Mitchell Trubisky,QB,2,1,0,29,SFA,0.516190476,5250000,2625000,0,750000,750000,0.94,0.92
PIT,98.82,73.21,0,0,0,0,Montravius Adams,DT,2,3,1,28,UFA,0.333333333,5250000,2625000,0,875000,875000,0.59,0.6
WAS,99.69,66.12,24.99,0,0,0,Nick Allegretti,LG,3,7,0,27,UFA,0.56375,1.60E+07,5333333,0,1178000,1178000,0.15,0.17
SEA,99.98,74.66,0,0,0,0,Noah Fant,TE,2,1,1,26,UFA,0.547142857,2.10E+07,10500000,0,4500000,4500000,0.01,0.01
DEN,99.44,77.59,0,0,0,0,P.J. Locke,S,2,8,1,27,UFA,0.463571429,7.00E+06,3500000,0,1.00E+06,1.00E+06,0.28,0.28
PHI,96.24,53.43,0,0,0,0,P.J. Mustipher,DT,2,8,0,24,SFA,0.063451777,1970000,985000,0,12500,12500,1.82,1.94
PIT,99.99,71.13,26.37,0,0,0,Patrick Queen,LB,3,1,0,24,UFA,0.337560976,4.10E+07,13666666,0,3863333,3863334,0.01,0.01
IND,99.88,64.14,0,0,0,0,Raekwon Davis,DT,2,2,0,26,UFA,0.5,1.40E+07,7.00E+06,0,2500000,2500000,0.06,0.05
ATL,98.51,59.34,0,0,0,0,Ray-Ray McCloud,WR,2,6,0,27,SFA,0.425,5.00E+06,2500000,0,5.00E+05,5.00E+05,0.73,0.75
IND,99.06,70.58,28.43,0,0,0,Rigoberto Sanchez,P,3,8,1,29,UFA,0.333333333,7500000,2500000,0,0,0,0.42,0.53
CAR,99.94,97.77,71.23,26.96,5.04,0,Robert Hunt,RG,5,2,0,27,UFA,0.44,1.00E+08,2.00E+07,0,5300000,5300000,0.02,0.04
JAX,99.52,67.93,0,0,0,0,Ronald Darby,CB,2,2,0,30,UFA,0.647058824,8500000,4250000,0,1500000,1500000,0.26,0.22
PHI,99.98,70.48,19.29,0,0,0,Saquon Barkley,RB,3,1,0,27,UFA,0.688741722,37750000,12583333,0,2425000,2425000,0.01,0.01
ARI,99.89,67.22,36.98,0,0,0,Sean Murphy-Bunting,CB,3,2,0,26,UFA,0.556666667,25500000,8500000,0,2.00E+06,2.00E+06,0.05,0.05
CLE,99.57,73,0,0,0,0,Shelby Harris,DT,2,7,1,32,UFA,0.443333333,9.00E+06,4500000,0,556000,556000,0.21,0.21
CIN,99.98,48.37,0,0,0,0,Sheldon Rankins,DT,2,1,0,29,UFA,0.326530612,24500000,12250000,0,2.00E+06,2.00E+06,0,0
NE,99.29,68.36,0,0,0,0,Sione Takitaki,LB,2,3,0,28,UFA,0.470278405,6645000,3322500,0,1.00E+06,1.00E+06,0.37,0.36
BUF,99.91,64.64,39.64,0,0,0,Taron Johnson,CB,3,4,1,27,Extension,0.579674797,30750000,10250000,0,1450000,1450000,0.04,0.04
BUF,99.27,68.73,38.4,0,0,0,Taylor Rapp,S,3,2,1,26,UFA,0.345882353,10625000,3541667,0,666666,666668,0.34,0.4
MIA,99.98,92.85,86.12,0,0,0,Terron Armstead,LT,3,3,1,32,Extension,0.258866166,38630000,12876667,0,7816750,7816750,0.01,0
NYJ,98.8,75.76,0,0,0,0,Thomas Morstead,P,2,5,1,38,UFA,0.433333333,5100000,2550000,0,5.00E+05,5.00E+05,0.58,0.61
HOU,99.08,67.11,0,0,0,0,Tim Settle,DT,2,5,0,26,UFA,0.541666667,6.00E+06,3.00E+06,0,1.00E+06,1.00E+06,0.46,0.45
HOU,99.28,72.77,0,0,0,0,Tommy Townsend,P,2,8,0,27,UFA,0.333333333,6.00E+06,3.00E+06,0,1.00E+06,1.00E+06,0.36,0.35
TEN,99.84,64.94,41.02,0,0,0,Tony Pollard,RB,3,4,0,26,UFA,0.482298851,21750000,7250000,0,2.00E+06,2.00E+06,0.08,0.09
WAS,99.92,66.3,42.99,0,0,0,Tyler Biadasz,C,3,4,0,26,UFA,0.59,3.00E+07,1.00E+07,0,2700000,2700000,0.03,0.03
SEA,99.99,97.62,0,0,0,0,Tyler Lockett,WR,2,3,1,31,Extension,0.422,3.00E+07,1.50E+07,0,13895000,13895000,0,0
WAS,98.74,65.77,23.38,0,0,0,Tyler Ott,LS,3,8,0,32,UFA,0.366742597,4390000,1463333,0,133333,133334,0.57,0.69
IND,99.79,74.46,0,0,0,0,Tyquan Lewis,EDGE,2,2,1,29,UFA,0.558333333,1.20E+07,6.00E+06,0,2500000,2500000,0.11,0.09
NO,99.82,73.77,0,0,0,0,Tyrann Mathieu,S,2,3,1,31,Extension,0.545454545,13750000,6875000,0,4067000,4067000,0.11,0.07
NYJ,99.83,64.06,0,0,0,0,Tyrod Taylor,QB,2,6,0,34,UFA,0.708333333,1.20E+07,6.00E+06,0,8.00E+05,8.00E+05,0.09,0.09
DEN,99.55,76.69,0,0,0,0,Wil Lutz,K,2,8,1,29,UFA,0.536904762,8400000,4200000,0,1650000,1650000,0.24,0.21
LAC,99.37,51.93,24.11,0,0,0,Will Dissly,TE,3,4,0,27,SFA,0.071428571,1.40E+07,4666666,0,1500000,1500000,0.31,0.32
GB,99.98,90.82,63.24,17.75,0,0,Xavier McKinney,S,4,2,0,24,UFA,0.343283582,6.70E+07,16750000,0,5750000,5750000,0.01,0.01
SF,99.95,55.31,0,0,0,0,Yetur Gross-Matos,EDGE,2,2,0,26,UFA,0.521666667,1.80E+07,9.00E+06,0,1653000,1653000,0.02,0.02
CLE,99.99,65.01,0,0,0,0,Za'Darius Smith,EDGE,2,4,1,31,UFA,0.52173913,2.30E+07,11500000,0,4025000,4025000,0.01,0.01
CIN,99.35,61.68,0,0,0,0,Zack Moss,RB,2,3,0,26,UFA,0.375,8.00E+06,4.00E+06,0,1500000,1500000,0.33,0.3
IND,99.93,68.35,31.41,0,0,0,Zaire Franklin,LB,3,7,1,27,Extension,0.563659629,31260000,10420000,0,1250000,1250000,0.03,0.04
NO,95.59,50.26,0,0,0,0,Zander Horvath,RB,2,7,0,25,SFA,0,1945000,972500,0,0,0,2.05,2.36
